Jahr,Stadtbezirk,Anzahl Einwohner_innen,Anzahl Einwohner_innen inkl. Nebenwohnsitzen,Anzahl Personen mit persönlichem Migrationshintergrund,Anzahl Personen mit familiärem Migrationshintergrund,Anzahl Personen mit persönlichem Migrationshintergrund - ausländisch,Anzahl Personen mit persönlichem Migrationshintergrund - Einbürgerung,Anzahl Personen mit persönlichem Migrationshintergrund - (Spät)Aussiedler,Anzahl Personen mit familiärem Migrationshintergrund - ausländisch,Anzahl Personen mit familiärem Migrationshintergrund - Einbürgerung,Anzahl Personen mit familiärem Migrationshintergrund - (Spät)Aussiedler,Anzahl Alleinerziehende Haushalte - deutsch,Anzahl Alleinerziehende Haushalte - nicht-deutsch,Anzahl Alleinerziehende Haushalte - kein Migrationshintergrund,Anzahl Alleinerziehende Haushalte - mit Migrationshintergrund
2018,Haslach-Egerten,7434,7508,2287,2554,1406,647,234,1406,882,266,134,56,116,74
2019,Haslach-Egerten,7691,7763,2469,2748,1528,703,238,1528,943,277,148,62,125,85
2020,Haslach-Egerten,7949,8031,2633,2921,1616,770,247,1616,1017,288,159,56,134,81
2006,Haslach-Gartenstadt,7304,7555,2201,2444,1310,504,387,1310,713,421,183,37,155,65
2007,Haslach-Gartenstadt,7317,7540,2213,2470,1327,492,394,1327,716,427,189,48,157,80
2008,Haslach-Gartenstadt,7158,7383,2162,2416,1279,505,378,1279,724,413,180,45,151,74
2010,Haslach-Gartenstadt,7404,7622,2360,2653,1394,585,381,1394,830,429,182,42,150,74
2011,Haslach-Gartenstadt,7727,7811,2504,2814,1484,623,397,1484,882,448,184,47,155,76
2012,Haslach-Gartenstadt,7774,7830,2555,2869,1529,638,388,1529,890,450,201,74,171,104
2014,Haslach-Gartenstadt,8016,8063,2631,2975,1686,642,303,1686,951,338,187,63,159,91
2015,Haslach-Gartenstadt,7994,8043,2706,3038,1772,652,282,1772,948,318,200,65,170,95
2019,Haslach-Gartenstadt,8016,8074,2750,3115,1762,741,247,1762,1060,293,184,90,146,128
2021,Haslach-Gartenstadt,8327,8400,2945,3267,1841,844,260,1841,1124,302,189,82,150,121
2006,Haslach-Schildacker,736,766,249,273,138,49,62,138,68,67,23,4,19,8
2007,Haslach-Schildacker,745,767,256,278,144,52,60,144,70,64,21,5,18,8
2008,Haslach-Schildacker,721,741,234,252,129,49,56,129,64,59,20,7,16,11
2010,Haslach-Schildacker,716,729,248,272,136,56,56,136,74,62,23,6,19,10
2011,Haslach-Schildacker,743,746,254,279,142,61,51,142,81,56,22,6,19,9
2012,Haslach-Schildacker,740,743,264,286,152,69,43,152,90,44,25,7,22,10
2015,Haslach-Schildacker,1710,1715,1259,1282,1159,70,30,1159,93,30,17,10,12,15
2017,Haslach-Schildacker,940,948,526,550,439,66,21,439,89,22,11,6,9,8
2020,Haslach-Schildacker,1053,1057,567,607,453,98,16,453,131,23,22,13,18,17
2021,Haslach-Schildacker,1307,1310,781,828,650,110,21,650,147,31,22,14,18,18
2006,Haslach-Haid,3772,3887,995,1138,442,226,327,442,319,377,94,18,87,25
2009,Haslach-Haid,3854,3967,1010,1159,435,261,314,435,351,373,90,14,80,24
2013,Haslach-Haid,3835,3855,1018,1157,497,338,183,497,444,216,79,22,72,29
2016,Haslach-Haid,3839,3859,1120,1272,591,351,178,591,468,213,74,17,61,30
2017,Haslach-Haid,3853,3878,1114,1279,611,338,165,611,468,200,70,16,58,28
2018,Haslach-Haid,3837,3861,1146,1301,634,349,163,634,474,193,71,20,57,34
2020,Haslach-Haid,3837,3862,1133,1258,614,366,153,614,462,182,81,20,71,30
2021,Haslach-Haid,3865,3888,1159,1281,627,377,155,627,467,187,70,22,59,33
2007,St. Georgen-Nord,8298,8584,1565,1746,791,482,292,791,630,325,255,18,235,38
2011,St. Georgen-Nord,9145,9262,1821,2080,912,596,313,912,809,359,202,32,189,45
2013,St. Georgen-Nord,9398,9483,1721,1988,942,532,247,942,757,289,184,26,168,42
2014,St. Georgen-Nord,9492,9585,1864,2145,1099,518,247,1099,750,296,193,31,177,47
2015,St. Georgen-Nord,10029,10130,2332,2622,1546,544,242,1546,787,289,194,40,177,57
2019,St. Georgen-Nord,10085,10181,2332,2684,1476,624,232,1476,919,289,182,52,159,75
2006,St. Georgen-Süd,6243,6551,1066,1310,486,365,215,486,581,243,180,19,158,41
2008,St. Georgen-Süd,2337,2443,401,453,117,139,145,117,174,162,35,8,30,13
2010,St. Georgen-Süd,2342,2448,417,471,115,148,154,115,183,173,36,5,31,10
2011,St. Georgen-Süd,2336,2380,428,486,116,163,149,116,201,169,32,7,27,12
2012,St. Georgen-Süd,2346,2376,450,503,126,170,154,126,207,170,38,7,33,12
2016,St. Georgen-Süd,2372,2405,410,467,142,141,127,142,186,139,27,3,23,7
2017,St. Georgen-Süd,2374,2407,394,456,144,135,115,144,185,127,26,4,22,8
2018,St. Georgen-Süd,2393,2428,440,503,182,149,109,182,200,121,28,9,21,16
2020,St. Georgen-Süd,2421,2452,453,500,184,169,100,184,207,109,37,8,30,15
2021,St. Georgen-Süd,2401,2435,435,480,180,160,95,180,197,103,34,8,28,14
2006,Opfingen,3962,4055,671,795,246,240,185,246,346,203,89,7,77,19
2009,Opfingen,4014,4094,704,827,265,271,168,265,373,189,100,9,88,21
2010,Opfingen,4108,4196,736,867,277,280,179,277,389,201,99,10,87,22
2012,Opfingen,4368,4386,812,984,337,292,183,337,428,219,115,20,105,30
2016,Opfingen,4422,4448,805,984,404,250,151,404,397,183,96,18,84,30
2017,Opfingen,4441,4469,860,1061,463,252,145,463,417,181,102,19,87,34
2018,Opfingen,4459,4488,890,1077,509,251,130,509,405,163,95,16,85,26
2020,Opfingen,4533,4563,993,1169,577,291,125,577,440,152,74,18,63,29
2021,Opfingen,4507,4531,1039,1204,623,292,124,623,434,147,78,18,68,28
2007,Tiengen,3276,3360,673,804,275,250,148,275,349,180,66,11,61,16
2011,Tiengen,3249,3283,738,853,342,250,146,342,329,182,67,12,64,15
2013,Tiengen,3205,3243,632,732,381,145,106,381,219,132,60,14,58,16
2014,Tiengen,3224,3259,680,776,423,148,109,423,216,137,58,13,57,14
2015,Tiengen,3229,3265,713,808,439,167,107,439,231,138,45,13,44,14
2019,Tiengen,3335,3375,889,984,610,184,95,610,245,129,39,18,35,22
2009,Munzingen,2642,2697,588,737,200,192,196,200,280,257,68,7,60,15
2013,Munzingen,2787,2809,578,698,249,196,133,249,290,159,65,9,53,21
2016,Munzingen,2907,2924,677,806,335,216,126,335,313,158,69,11,61,19
2017,Munzingen,2965,2983,704,864,368,207,129,368,326,170,73,12,63,22
2018,Munzingen,2973,2993,747,908,402,221,124,402,340,166,69,14,59,24
2020,Munzingen,3045,3064,788,951,442,231,115,442,349,160,60,20,50,30
2006,Weingarten,10530,10751,5003,5505,2200,969,1834,2200,1312,1993,299,87,217,169
2007,Weingarten,10433,10629,5003,5535,2229,975,1799,2229,1331,1975,279,97,204,172
2008,Weingarten,10260,10444,4978,5520,2234,999,1745,2234,1371,1915,276,105,191,190
2010,Weingarten,10366,10543,5059,5667,2361,1037,1661,2361,1454,1852,259,116,182,193
2011,Weingarten,10525,10592,5200,5830,2511,1044,1645,2511,1467,1852,262,113,193,182
2012,Weingarten,10659,10714,5337,5992,2588,1125,1624,2588,1562,1842,289,135,199,225
2015,Weingarten,10825,10896,5354,6057,2747,1724,883,2747,2273,1037,240,122,177,185
2017,Weingarten,11110,11162,5494,6342,2926,1732,836,2926,2418,998,227,144,167,204
2019,Weingarten,11305,11364,5723,6596,3065,1829,829,3065,2518,1013,231,151,167,215
2021,Weingarten,11264,11325,5867,6636,3113,1948,806,3113,2555,968,216,139,150,205
2006,Rieselfeld,7616,7709,2188,2810,756,463,969,756,840,1214,321,43,273,91
2008,Rieselfeld,8744,8871,2581,3312,923,606,1052,923,1055,1334,308,53,248,113
2009,Rieselfeld,8970,9107,2622,3371,913,657,1052,913,1112,1346,304,57,245,116
2010,Rieselfeld,9255,9405,2725,3489,941,711,1073,941,1164,1384,305,60,247,118
2012,Rieselfeld,9754,9828,2877,3625,1026,797,1054,1026,1230,1369,341,54,268,127
2016,Rieselfeld,10035,10135,2956,3643,1201,1142,613,1201,1656,786,270,59,206,123
2017,Rieselfeld,9973,10071,2934,3710,1237,1119,578,1237,1718,755,259,61,194,126
2018,Rieselfeld,9867,9965,2939,3698,1245,1131,563,1245,1717,736,248,66,183,131
2020,Rieselfeld,9560,9657,2865,3495,1169,1169,527,1169,1648,678,212,53,149,116
2021,Rieselfeld,9459,9562,2857,3452,1191,1155,511,1191,1608,653,210,54,152,112
2007,Vauban,4781,4982,923,1167,530,286,107,530,513,124,190,19,174,35
2008,Vauban,4903,5106,942,1165,521,322,99,521,532,112,206,17,193,30
2010,Vauban,5154,5340,1060,1303,591,365,104,591,592,120,221,22,201,42
2011,Vauban,5322,5381,1100,1351,595,406,99,595,643,113,219,18,194,43
2012,Vauban,5522,5568,1158,1416,601,439,118,601,677,138,267,21,238,50
2014,Vauban,5576,5634,1132,1331,669,366,97,669,546,116,210,21,192,39
2015,Vauban,5616,5682,1184,1366,702,389,93,702,552,112,204,21,190,35
2019,Vauban,5405,5494,1177,1369,705,397,75,705,567,97,178,17,162,33
2021,Vauban,5210,5298,1147,1290,631,448,68,631,570,89,167,16,154,29
